Frequency,Mag_L
0.00,35.95
0.67,35.53
1.33,39.40
2.00,44.02
2.67,48.24
3.33,52.12
4.00,55.62
4.67,58.73
5.33,61.48
6.00,63.92
6.67,66.08
7.33,68.00
8.00,69.70
8.67,71.20
9.33,72.53
10.00,73.71
10.67,74.75
11.33,75.66
12.00,76.45
12.67,77.14
13.33,77.73
14.00,78.23
14.67,78.67
15.33,79.04
16.00,79.36
16.67,79.64
17.33,79.89
18.00,80.12
18.67,80.35
19.33,80.57
20.00,80.80
20.67,81.03
21.33,81.26
22.00,81.49
22.67,81.72
23.33,81.94
24.00,82.14
24.67,82.32
25.33,82.48
26.00,82.62
26.67,82.74
27.33,82.84
28.00,82.92
28.67,83.00
29.33,83.07
30.00,83.14
30.67,83.21
31.33,83.29
32.00,83.37
32.67,83.46
33.33,83.55
34.00,83.64
34.67,83.72
35.33,83.81
36.00,83.88
36.67,83.94
37.33,84.00
38.00,84.04
38.67,84.07
39.33,84.10
40.00,84.13
40.67,84.15
41.33,84.18
42.00,84.21
42.67,84.25
43.33,84.29
44.00,84.34
44.67,84.38
45.33,84.43
46.00,84.47
46.67,84.51
47.33,84.54
48.00,84.57
48.67,84.58
49.33,84.60
50.00,84.61
50.67,84.61
51.33,84.62
52.00,84.63
52.67,84.65
53.33,84.67
54.00,84.69
54.67,84.72
55.33,84.74
56.00,84.77
56.67,84.80
57.33,84.82
58.00,84.83
58.67,84.84
59.33,84.85
60.00,84.85
60.67,84.85
61.33,84.85
62.00,84.85
62.67,84.85
63.33,84.86
64.00,84.87
64.67,84.89
65.33,84.90
66.00,84.92
66.67,84.94
67.33,84.95
68.00,84.97
68.67,84.98
69.33,84.98
70.00,84.98
70.67,84.98
71.33,84.98
72.00,84.97
72.67,84.97
73.33,84.97
74.00,84.98
74.67,84.98
75.33,84.99
76.00,85.00
76.67,85.02
77.33,85.03
78.00,85.03
78.67,85.04
79.33,85.04
80.00,85.04
80.67,85.04
81.33,85.03
82.00,85.02
82.67,85.02
83.33,85.01
84.00,85.01
84.67,85.01
85.33,85.02
86.00,85.02
86.67,85.03
87.33,85.04
88.00,85.04
88.67,85.05
89.33,85.05
90.00,85.05
90.67,85.04
91.33,85.04
92.00,85.03
92.67,85.02
93.33,85.01
94.00,85.01
94.67,85.00
95.33,85.00
96.00,85.00
96.67,85.01
97.33,85.01
98.00,85.01
98.67,85.01
99.33,85.01
100.00,85.01
100.67,85.01
101.33,85.00
102.00,85.00
102.67,84.99
103.33,84.98
104.00,84.98
104.67,84.97
105.33,84.97
106.00,84.97
106.67,84.97
107.33,84.97
108.00,84.97
108.67,84.97
109.33,84.96
110.00,84.96
110.67,84.96
111.33,84.95
112.00,84.94
112.67,84.94
113.33,84.93
114.00,84.92
114.67,84.91
115.33,84.91
116.00,84.90
116.67,84.90
117.33,84.90
118.00,84.90
118.67,84.90
119.33,84.90
120.00,84.89
120.67,84.89
121.33,84.88
122.00,84.88
122.67,84.87
123.33,84.86
124.00,84.85
124.67,84.85
125.33,84.84
